"britain plummets to lowest value in world since 1580s",2
"chance the rapper livestreams traffic stop in chicago",0
"housefly tracks dog shit all over cucumber slice",2
"authorities say dozens of bystanders failed to act as man went about his life",2
"ice cream truck driver going to let these kids sweat a little bit before stopping",2
"once again: can a mission-driven nonprofit be blindsided?",0
"khalid sheikh mohammed confesses to confessing under torture",2
"neither boss nor employee paid enough to deal with each other",2
"friend from college wasted no time becoming white-collar professional",2
"radiator saving single loudest clank for 3:32 a.m.",2
"trevor noah can't wrap mind around trump-obama white house meeting",0
"100 things to be thankful for",0
"can't go wrong with a cheeseburger, area man reports",2
"this photo series powerfully denounces the pain caused by prejudice in small towns in brazil",0
"lawyers identify dozens more bill cosby victims while interviewing potential jurors",2
"local grandmother feared dead after appearing in woman's profile picture",2
"what older voters expect from donald trump",0
"live from the toronto film festival: sunday, sept. 7",0
"enchilada premonition comes to pass",2
"avoiding popular songs somehow accomplishment for local man",2
"fcc sniper takes out matthew mcconaughey to prevent live broadcast of profanity",2
"one man's quest to document the highways that tore his city apart",0
"no one is talking about this terrible outcome of the gop health plan",0
"uber vows to repay nyc drivers 'tens of millions' after tax snafu",0
"these two little kids are better at soccer than you are at anything",0
"growing 'fat-earther' movement believes planet 2.4 quintillion pounds overweight",2
"5 labor day escapes that are totally worth the money",0
"news roundup for august 2, 2017",0
"al franken pledges to make up for sexist behavior over course of next four senate terms",2
"california's golden healthcare opportunity",0
"vacationing man misses own remote control",2
"this is how to locate lost life insurance policies",0
"key senate race deeply divides men and women",0
"vessel for male sexual gratification very sad today",2
"guy on roof starting to think he might get away with it",2
"australia to lay off leading scientist on sea levels",0
"15 popular travel destinations you should avoid in the summer",0
"guardian news & media to cut costs by 20%",0
"'time' magazine subscribers brace for inevitable issue with close-up of ted cruz's face",2
"god urges rick perry not to run for president",2
"lea michele romances fake gosling in 'on my way' video",0
"microwave used as alarm clock",2
"this woman made it her mission to make a dangerous job safer by inventing a unique solution",0
"bouncer instructed not to let people like himself in",2
"virginia alcohol agents involved in bloody arrest return to duty",0
"adam sandler fans disappointed by intelligent, nuanced performance",2
"fbi shuts down prominent new isis recruitment website",2
"60-year-old hippie pitied by 40-year-old punk",2
"caitlyn jenner calls out jimmy kimmel for jokes about her transition",0
"area doctor: 'mylanta'",2
"immigration officials asking about fourth-grader turned away by nyc school",0
"watch: stunning holy fire ritual lights up orthodox easter",0
