"ruth bader ginsburg says she never should've waded into colin kaepernick controversy",0
"springer audience now just chanting 'kill! kill!'",2
"trump dismisses accusers as women",2
"dozens injured after trains collide in pennsylvania",0
"7 trends that offer a snapshot of american religion today",0
"donald trump calls hillary clinton 'the devil'",0
"only one president had the guts to say the state of the union is 'not good'",0
"hostage negotiation talks stall in congress",2
"jackie chan's ancestors shamed by blooper reel",2
"brad pitt scampers away from script after detecting musk of chris pine on pages",2
"florida teen apologizes for racist promposal sign",0
"is ukraine fascist?",0
"high school teaches parenting skills by having students post nonstop photos of egg to social media",2
"mike pence says disney made 'mulan' to promote women in combat",0
"area man committed to being spicy food guy",2
"defunct 4-year-old sports blog still lurking on internet",2
"ex-prosecutor accused of wiretapping married cop she wanted to romance",0
"california lawmakers approve gas tax to pay for $52 billion infrastructure plan",0
"real-life log flume kills family",2
"washington post: maine gov. paul lepage is 'completely unhinged' and should quit",0
"the best dinner and a movie combos in la",0
"ipod flaunted",2
"instagram now warns users against wild animal selfies",0
"college junior shares his strategy for getting the most out of tinder",0
"white house denied third mortgage",2
"man at bar has incredibly complicated reason for why he enjoys rolling rock",2
"brazilian 'surfer angel' considered for sainthood",0
"how this couple lost more than 40 pounds each in five months",0
"alfonso ribeiro may be forced to leave 'dwts'",0
"stewart-hannity feud: 'sh*t just got weird'",0
"houthi official: yemen strikes by saudi arabia will set off 'wide war'",0
"elizabeth banks posts aca-amazing 'pitch perfect 2' cast photo",0
"muslim man shot near mosque in texas",0
"report: voters may have tried to influence '96 election",2
"this influencer is using youtube to speak frankly about student loan debt",0
"report: ugh, no one would care anyway",2
"trans texans share emotional responses on rejection of lgbt discrimination measure",0
"these insane ping pong trick shots will get you in the groove",0
"un chief warns trump not to ditch iran nuclear deal",0
"tennis star forgot her massive check at u.s. open",0
"mitch mcconnell pledges to avoid debt ceiling disaster",0
"5 things to watch for in tonight's gop debate",0
"hundreds of cuban refugees clinging to air force one on flight back to u.s.",2
"police catch 'nonchalant' gunman who killed 3 at colorado walmart",0
"106 things you can do to bring about the queer revolution",0
"u.s. justices reject challenge to protest ban on supreme court plaza",0
"the case for taking a gap year",0
"christian slater dropped from list of names to drop",2
"burmese python shocked at amount of stress man holding in his neck",2
"perfect gentleman does not assault drunk woman",2
"11 odd household objects that will intrigue you, then frustrate you beyond belief",0
"kimmel, atop scorched earth, takes aim at trump over health care bill",0
"nfl players and team owners can see 'concussion' for free",0
"jefferson starship memorial reopens on national mall",2
"banyan's breakfast smoothie",0
"voters shocked christie botched such an easy political cover-up",2
"pope francis canonizes single turkey in annual vatican tradition",2
"watch your favorite musicians perform 'the hamilton mixtape' live",0
"entire republican national convention stunned as ann romney asks for divorce",2
"widower finds pic of wife in wedding dress he never got to see her wear",0
"report: double stuf oreos could raise tolerance to stuf",2
"the magic of today's new unicorn leader",0
"title ix administrators discuss emotional demands of job",0
"man arrested after attempting to breach cockpit during flight to honolulu",0
"9 shows that make the case for watching television in august",0
"study: majority of frontal lobe occupied by thoughts of sausage links",2
"the daily szep- gop circus",0
"fire chief grants fireman 3-day extension on difficult fire",2
"#kellyonmymind: reflecting on kelly gissendaner",0
"montana dems nominate a banjo player for special election -- and he might actually win",0
"man pretty sure he slept",2
"read this before you plop your v-day flowers into any old vase",0
"3 reasons to get out of your comfort zone immediately",0
"graduates, take your time",0
"rare shark accidentally caught by fisherman",0
"adele opens up about her private life, squad goals and new album",0
"area man killed in committee",2
"fantasized argument getting pretty intense",2
"taylor swift teases 'i don't wanna live forever' music video with zayn (update)",0
"rapidly swelling man may contain traces of peanuts",2
"world's best dad has world's worst arteries",2
"i'm really upset about the midterm elections god i love my new iphone",0
"how to talk to a woman: 12 tips",0
"how does one set a price on a historic site?",0
"this cheeky 1913 letter from a suffragist is giving us life",0
